"outcome","output","indicators","description","start date","end date","unit","baseline","target 2023","reached 2023","narrative 2023","target 2024","reached 2024","narrative 2024","target 2025","reached 2025","narrative 2025","target 2026","reached 2026","narrative 2026","target 2027","reached 2027","narrative 2027","Means of Verification","sdg","agency abbreviations","agencies"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.",,"3.1.1 Se existem ou não quadros legais para promover, aplicar e monitorizar a igualdade e a não discriminação baseada no género (OHCHR, UNICEF, ILO)","LINHA DE BASE: 
• Proposta de projeto de lei especial anti-discriminação elaborado
• Plano Nacional de Combate à Violência Baseada no Género (2015-2018) existente
• Plano de Acção Nacional de Prevenção e Combate à Violência sexual de Crianças e Adolescentes (2021-2023) existente
• Lei Especial sobre Violência Baseada no Género existente
• Lei da Paridade existente
• Lei sobre crimes de Agressão, Abuso e Exploração Sexual de Crianças e Adolescente existente
• Decreto-lei com medidas de apoio social e escolar às mães no sistema de ensino existente
• Lei de Bases do Emprego Público (LBEP) existente
• Inexistência de um quadro legal promotor do princípio de igual remuneração por trabalho de igual valor
(2022)
META 2027:
• Lei especial anti-discriminação, aprovada
• Plano nacional de combate à violência sexual contra crianças e adolescentes é alargado para além de 2023
• Lei promotora do princípio ""Salário igual para trabalho de igual valor"" aprovada
AGÊNCIA RESPONSÁVEL: OHCHR: Yayé Ba; UNICEF: Jairson Gomes; OIT: Mónica Rodrigues Ramos
FONTE / MEIOS DE VERIFICAÇÃO:
Relatório do Instituto Cabo Verde para a Igualdade e Equidade de Género (ICIEG) - relatório de implementação do PNIG
Instituto Cabo-Verdiano da Criança e do Adolescente (ICCA)
Boletim Oficial
Government Report to UN Human Rights Mechanism and the Universal Human rights Index","2023-01-01","2027-12-31","Binary","Yes","-","YES","-","-","YES","The Child Protection Program contributed for the Revision of the Statute of Child and Adolescents - ECA.  ","-","YES","-","-","-","-","Yes","-","-","Relatório do Instituto Cabo Verde para a Igualdade e Equidade de Género (ICIEG) - relatório de implementação do PNIG Instituto Cabo-Verdiano da Criança e do Adolescente (ICCA) Boletim Oficial Government Report to UN Human Rights Mechanism and the Universal Human rights Index","Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",,
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.",,"2.2.1 Participação das energias renováveis no consumo total final de energia (UNIDO, UNDP)","LINHA DE BASE: 18.3% (2020)
META 2027: 35%
AGÊNCIA RESPONSÁVEL: UNIDO: Edson Fernandes; UNDP: Ricardo Monteiro
FONTE / MEIOS DE VERIFICAÇÃO: Direção Nacional de Indústria, Comércio e Energia (portal de energia - www.portalenergia.cv)","2023-01-01","2027-12-31","%","18.3","-","17.8","Valores referentes a 2022. Segundo DNICE, os dados de 2023 por publicar nesta data irão demonstrar um aumento.17.8% (2022)","-","18.4","Fonte: CCA 2024. Data reported by National Directorate of Industry, Trade and Energy, 202418.4% (2023) ","-","0","-","-","-","-","35","-","-","Direção Nacional de Indústria, Comércio e Energia (portal de energia - www.portalenergia.cv)","Renewable energy share in the total final energy consumption",,
"Efeito 2.1: Até 2027, uma economia mais sustentável, inclusiva, diversificada e integrada gerará empregos decentes, segurança alimentar e nutrição para os mais vulneráveis, especialmente as mulheres, os jovens e os mais pobres. / Outcome 2.1: By 2027, a more sustainable, inclusive, diversified and integrated economy generates decent jobs, food security and nutrition for the most vulnerable, especially women, youth and the extreme poor.",,"2.1.1 Proporção da população que vive abaixo do limiar nacional de pobreza, por sexo e urbano/rural (UNDP, ILO)","LINHA DE BASE: 31.7% (32.1% F; 31.3% M; Urbano 25.8%; Rural 44.9%) (2020, estimativa)
META 2027: 26% (32.1% F; 31.3% M; Urbano 25.8%; Rural 44.9%)
AGÊNCIA RESPONSÁVEL: UNDP: Adelaide Ribeiro; ILO: Fernando Sousa Jr.
FONTE / MEIOS DE VERIFICAÇÃO: INE - Estimativa de pobreza","2023-01-01","2027-12-31","Proportion","31.7","-","-","-","-","-","Com base nos dados apresentados em outubro de 2024 , referente aos resultados da estimativa da pobreza 2023 utilizando a metodologia SWIFT :A Pobreza Absoluta passou de 35,5% em 2015, para 24,75% em 2023, o que representa uma redução de 10,75 pontos percentuais. A Pobreza Extrema teve uma redução para metade, passando de 4,56% em 2015 para 2,28% em 2023, segundo o limiar internacional de 2,15 dólares1 por dia e por pessoa.&nbsp;Através da metodologia SWIFT, utilizando os dados do III e IV IDRF , a taxa de pobreza absoluta estimada em 2023 foi de 21,31 por cento (21,31%) nas zonas urbanas (28,08% em 2015) e de 35,23 por cento (35,23%) nas zonas rurais (48,87% em 2015). A nível nacional, em 2023, a taxa de pobreza absoluta foi de 24,75 por cento (24,75%), contra 35,5 por cento (35,5%) em 2015.&nbsp;A taxa média nacional da pobreza extrema para 2023, segundo o limiar internacional, foi de 2,28 por cento (2,28%), o que representa uma queda de 50% relativamente a 2015, período em que a taxa de pobreza extrema rondava os 4,56 por cento (4,56%).Relativamente à análise por meio de residência, em 2023, nas zonas urbanas, o valor rondava os 1,4 por cento (1,4%) (2,05% em 2015), enquanto que nas zonas rurais foi de 4,97 por cento ( 4,97%) (9,09% em 2015).&nbsp;&nbsp;Foram consideradas as seguintes linhas de pobreza:-Linha de Pobreza Global Aboluta ajustada através de deflatores espaciaisLinha Urbana: 95.908 CVELinha Rural: 82.602 CVE.-Linha de Pobreza Extrema: Linha de Pobreza Internacional de 2,15 dólares por dia por pessoa, PPC 2017, estimada pela equipa de Pobreza do Banco Mundial.Estimativas SWIFT:-Rendimento per capita anual utilizando a linha de pobreza global absoluta de 2015 e a linha de pobreza internacional PPP de 2017 (convertida em CVE per capita anual)-Taxas de pobreza absoluta e extrema para os níveis urbano, rural e nacional","-","24.75","-","-","-","-","26","-","-","INE - Estimativa de pobreza","Proportion of population living below the national poverty line, by sex and age",,
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",,"1.1.1 Proporção da população coberta por níveis/sistemas de protecção social, por sexo (OIT, UNFPA)","LINHA DE BASE: A receber pelo menos uma prestação social: 51,4% (48,4% M; 54,6% F) (2020)
META 2027: 63.2% Estimativa (66.4% F; 60.2% M)
AGÊNCIA RESPONSÁVEL: OIT: Fernando Sousa Jr.; UNFPA: Adelaide Ribeiro
FONTE / MEIOS DE VERIFICAÇÃO: Grupo de Trabalho Inter-institucional sobre Estatísticas de Protecção Social - GITEPS (inclui as seguintes entidades: MF/ INPS / CNPS / BCV / INE) e OIT, Boletim Estatístico do Sistema de Protecção Social de Cabo Verde","2023-01-01","2027-12-31","%","51.4","60.3","60.3","Os dados publicados no Boletim Estatístico sobre Proteção Social em Cabo Verde, respeitantes ao período de 2021-2023, indicam que em 2023 a proporção da população coberta por pelo menos uma prestação de proteção social (i.e. o indicador do ODS 1.3.1) atingiu 60,3% (62,2% - Mulheres; 58,5% - Homens).Fonte: https://actionportugal.org/2024/12/03/boletim-estatistico-sobre-protecao-social-em-cabo-verde-2021-2023/","Os dados referentes a 2024 deverão estar disponíveis aquando da publicação do 3º Boletim Estatístico sobre o Sistema de Proteção Social em Cabo Verde ","-","Informação ainda não disponível.","-","-","","-","-","-","63.2","-","-","Grupo de Trabalho Inter-institucional sobre Estatísticas de Protecção Social - GITEPS (inclui as seguintes entidades: MF/ INPS / CNPS / BCV / INE) e OIT, Boletim Estatístico do Sistema de Protecção Social de Cabo Verde","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable",,
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.",,"3.1.10 Indicador de capacidade estatística para  monitorização dos Objectivos de Desenvolvimento  Sustentável (UNDP)","LINHA DE BASE:  74% (68 dos 92 indicadores) dos indicadores dos ODS produzidos pelo Sistema Nacional de Estatística (2020) 
META 2027: 100% (92/92) dos indicadores produzidos pelos Sistemas Estatísticos Nacionais
AGÊNCIA RESPONSÁVEL: UNDP - Frederic Mbassa
FONTE / MEIOS DE VERIFICAÇÃO: Melatório estatístico elaborado pelo INE","2023-01-01","2027-12-31","-","74","-","42","-","-","42","-","-","42","-","-","-","-","100","-","-","Relatório estatístico elaborado pelo INE","Amounts provided and mobilized in United States dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025",,
"Efeito 2.1: Até 2027, uma economia mais sustentável, inclusiva, diversificada e integrada gerará empregos decentes, segurança alimentar e nutrição para os mais vulneráveis, especialmente as mulheres, os jovens e os mais pobres. / Outcome 2.1: By 2027, a more sustainable, inclusive, diversified and integrated economy generates decent jobs, food security and nutrition for the most vulnerable, especially women, youth and the extreme poor.",,"2.1.10 Proporção de reservas de pescado dentro de níveis biologicamente sustentáveis (FAO, UNDP)","LINHA DE BASE: Proxy: Nível de exploração de espécies chave:• Decapterus macarellus: Biomassa: 240 toneladas por ano, maturidade 20 cm• Spicara melanurus: biomassa 516 Toneladas por ano, maturidade 17 cm(Proxy 2019)
META 2027: Nível de exploração de espécies chave:• Decapterus macarellus: Biomassa: 240 toneladas por ano, maturidade 20 cm • Spicara melanurus: biomassa 516 Toneladas por ano, maturidade 17 cm
AGÊNCIA RESPONSÁVEL: FAO: Katya Mascarenhas UNDP: Celeste Benchimol
FONTE / MEIOS DE VERIFICAÇÃO: Relatório do IMAR (Instituto do Mar)","2023-01-01","2027-12-31","Proportion","-","-","-","Aguarda-se os dados das estatísticas de pesca do IMAR para 2023.Entre 2022 e 2023, a FAO em parceria com o IMAR realizou campanhas participativas com vista à aplicação do instrumento FPAT na atividade de pesca da garoupa e da lagosta. Os dados estão a ser consolidados para apresentação em 2024.Sem projetos activos em 2023 neste dominio (PNUD)&nbsp;","-","-","Sem projetos activos em 2024 neste dominio (PNUD)&nbsp;","-","-","-","-","-","-","-","-","-","Relatório do IMAR (Instituto do Mar)","Proportion of fish stocks within biologically sustainable levels",,
"Efeito 2.1: Até 2027, uma economia mais sustentável, inclusiva, diversificada e integrada gerará empregos decentes, segurança alimentar e nutrição para os mais vulneráveis, especialmente as mulheres, os jovens e os mais pobres. / Outcome 2.1: By 2027, a more sustainable, inclusive, diversified and integrated economy generates decent jobs, food security and nutrition for the most vulnerable, especially women, youth and the extreme poor.","Produto 2.1.1: As estruturas institucionais são reforçadas e mais inclusivas, e os responsáveis ​​têm capacidades fortalecidas para um melhor ambiente de negócios, sistemas nacionais de qualidade, integração regional, uma maior contribuição da diáspora para a economia e a proteção dos direitos dos trabalhadores.","Number of new or revised development or sectoral policies that integrate migration and recognize migrants as contributors to sustainable development with UN's support
a.) New or revised
b.) Developmental or sectoral policy
c.) Bilateral, national or local","REF. # INDICADOR MENU DE PRODUTO: OI 10.2
LINHA DE BASE: NÃO: Tipo de política: - Alcance da política: • nacional (Não); • local (Não); • setorial (Não) (2022)
META: SIM: Tipo de política: - Alcance da política: • nacional (Sim); • local (Sim); • setorial (Sim); (2023)
AGÊNCIA RESPONSÁVEL: OIM
FONTE / MEIOS DE VERIFICAÇÃO: Relatórios anuais do projeto “Apoiar o Governo Local e Nacional de Cabo Verde para um Engajamento Sustentável e Inclusivo da Diáspora”;
 Comunicação formal escrita da validação e do Plano Estratégico Nacional de Engajamento da Diáspora e seu Plano de Ação","2023-01-01","2027-12-31","Number","-","-","-","O Plano Estratégico Nacional de Engajamento da Diáspora e seu Plano de Ação encontram-se na fase de finalização, mas ainda não foram aprovados.","-",2,"","-","-","-","-","-","-",1,"-","-","-",,"IOM","International Organization for Migration"
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.","Produto 1.1.2: Mais pessoas em situação de vulnerabilidade e marginalizadas têm acesso e são empoderadas através da educação, cuidados de saúde de qualidade e ferramentas para exercer os seus direitos.","Number of people who are internally displaced, migrants, refugees or part of the host communities, or communities left or affected populations, benefiting from integrated and targeted interventions, including on strengthening social cohesion, with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 10.3
LINHA DE BASE: Mulheres [18-35; 36-62; 63-89] (0), Homens [18-35; 36-62; 63-89] (0), Raparigas [0-8; 9-17] (0) Rapazes [0-8; 9-17] (0), Deficiência (0)Tipo de beneficiário directo:• Deslocados internos: N/A• Migrantes: 0 (0 F; 0 M)• Refugiados: 0 (0 F; 0 M)• Indivíduos de comunidades de acolhimento ou comunidades deixadas para trás: N/A (2022)
META: Mulheres [18-35; 36-62; 63-89] (30), Homens [18-35; 36-62; 63-89] (55), Raparigas [0-8; 9-17] (10) Rapazes [[0-8; 9-17] (10), Deficiência (5)Tipo de beneficiário directo:• Deslocados internos: N/A• Migrantes: 100 (XX F; XX M)• Refugiados: 5 (XX F; XX M)• Indivíduos de comunidades de acolhimento ou comunidades deixadas para trás: N/A (2027)
AGÊNCIA RESPONSÁVEL: IOM
FONTE / MEIOS DE VERIFICAÇÃO: Relatório Anual sobre o número de migrantes e vítimas de tráfico assistidos no retorno e reintegração no âmbito do Programa Regional e Global de Retorno Voluntário e Reintegração.","2023-01-01","2027-12-31","People","0",21,"135","Em Janeiro de 2023, a OIM Cabo Verde apoiou o retorno de 90 migrantes, sendo que deste total, 88 eram do sexo masculino e 2 do sexo feminino. No que respeita ao país de origem dos migrantes, 56 eram originários do Senegal, 26 da Gambia, 5 da Guiné-Bissau, 1 da Guiné-Conacri, 1 do Mali e 1 da Serra Leoa. Deste grupo, 11 eram menores, todos do sexo masculino - 7 de nacionalidade Senegalesa (todos com 17 anos) e 4 de nacionalidade Gambiana (1 com 14 anos, 1 com 16 anos e 2 com 17 anos).Em Agosto de 2023, a OIM Cabo Verde apoiou (com aquisição de bens de primeira necessidade) 38 migrantes sobreviventes, todos do sexo masculino, de uma embracação que se encontrava à deriva e que veio a desembarcar na ilha do Sal. 37 dos quais de nacionalidade sengalesa e 1 oriundo da Guiné-Bissau.Igualmente durante 2023 a OIM apoiou a reintegração de 1 caboverdiano do sexo masculino, 1 caboverdiana do sexo feminino, após o seu regresso a Cabo Verde, bem como o retorno de uma familia a São Tomé, composta por 1 mulher, 1 homem e 3 crianças (2 rapazes e 1 menina).",21,30,"",21,"-","-",21,"-","-",21,"-","-","UNECA: Documento de Estratégia Nacional AfCFTA e NDP; UNIDO: relatório do Programa Nacional Anual da UNIDO; relatório do projeto GCF; FAO: Relatórios de Monitoramento do Projeto (1. Rumo à Neutralidade da Degradação da Terra para Maior Equidade, Sustentabilidade e Resiliência; 2. Aumentar a resiliência das comunidades locais às mudanças climáticas através de uma melhor gestão das bacias hidrográficas e restauração da terra; 3. Aumentar as capacidades de Cabo Verde em lidar com os efeitos da mudanças climáticas em setores-chave da Economia Azul: 4. Iniciativa de Pesca Costeira / África Ocidental) Novos Planos e instrumentos de Política produzidos",,"IOM","International Organization for Migration"
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.","Produto 1.1.3: As políticas e os quadros regulamentares permitem melhor acesso, utilização e modernização de serviços sociais e de protecção inclusivos, digitais, sensíveis ao género e resilientes, incluindo para os assentamentos informais.","Number of new or revised national social protection policies to extend coverage, enhance comprehensiveness and/or increase adequacy of benefits, with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 1.1
LINHA DE BASE: 0 (zero) 2022
META: 4 (quatro); 1 - Diagnóstico da extensão da segurança social a trabalhadores/as de difícil cobertura em Cabo Verde; 2 - Revisão da Lei relativa à Pensão Social; 3 - Revisão de legislação relacionada com cobrança de dívidas pelo INPS; 4 - Revisão do processo relativo a Evacuações para Portugal (2025)
AGÊNCIA RESPONSÁVEL: OIT: Fernando Sousa
FONTE / MEIOS DE VERIFICAÇÃO: Boletim Oficial, Relatórios do MFIDS e documentos relevantes de outros organismos envolvidos nesta actividade","2023-01-01","2027-12-31","Number","0","-","-","-","1","-","-","2","-","Em Maio de 2024 foi concluído o Diagnóstico da extensão da segurança social a trabalhadores/as de difícil cobertura em Cabo Verde, que incluiu o Plano de Comunicação para a extensão; A 3 de Fevereiro foi concluído o trabalho de revisão da Lei relativa à Pensão Social. Através da aprovação e publicação do Decreto-Lei n.º 3/2025, procedeu-se à primeira alteração à Lei n.º 38/VIII/2013, de 7 de Agosto, que desenvolve o regime geral da proteção social ao Nível da rede de segurança, previsto na Lei n.º 131/V/2001, de 22 de janeiro.","0","-","-","0","-","-",,,"ILO","International Labour Organisation"
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.","Produto 2.2.4: Os atores têm melhor acesso ao conhecimento, técnicas e tecnologias inovadoras para um planeamento territorial integrado sensível ao género, incluindo a tomada de decisões sobre o uso da terra e do mar, o funcionamento saudável dos ecossistemas e o aumento sustentável dos serviços prestados.","National urban policies (NUP) to support sustainable cities and communities and in accordance with international standards formulated, resourced, and implemented by the Government, with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 11.1
LINHA DE BASE: SIM - Política Urbana Nacional (PNU)1-Formulado e 2-Com Recursos Disponíveis(2020)
META: SIM - Polícia Nacional Urbana (NUP)3-Implementado através da elaboração de 6 PLAMUH (Plano Municipal de Habitação) a ser elaborado para outros seis Municípios (será determinado mais à frente através de uma consulta com o MIOTH)(2024)
AGÊNCIA RESPONSÁVEL: UN HABITAT: Jeiza Barbosa
FONTE / MEIOS DE VERIFICAÇÃO: Relatório Anual do MIOTH sobre a implementação do Plano Nacional de Habitação; Relatório anual do projeto ONU HABITAT","2023-01-01","2027-12-31","Scale","1. Yes, Diagnosis, Feasibility or Formulation Phase","1. Yes, Diagnosis, Feasibility or Formulation Phase","2. Yes, Implementation Phase","-","2. Yes, Implementation Phase","-","","2. Yes, Implementation Phase","-","-","3. Yes, Monitoring and Evaluation Phase","-","-","3. Yes, Monitoring and Evaluation Phase","-","-","Relatório Anual do MIOTH sobre a implementação do Plano Nacional de Habitação; Relatório anual do projeto ONU HABITAT",,"UN-HABITAT","United Nations Human Settlement Programme"
