1-outcome-code,1-outcome-name,2-output-code,2-output-name,3-1-start-date,3-2-end-date,3-code,3-id,3-name,5-1-agency-abbreviation,5-2-agency,6-contributing-partner,6-contributing-partner-type,7-parent-contributing-partner,7-parent-contributing-partner-type,Total Available Resources-2023,Total Available Resources-2024,Total Available Resources-2025,Total Available Resources-2026,Total Expenditure-2023,Total Expenditure-2023-disaggregation-inferred,Total Expenditure-2024,Total Expenditure-2024-disaggregation-inferred,Total Expenditure-2025,Total Expenditure-2025-disaggregation-inferred,Total Expenditure-2026,Total Expenditure-2026-disaggregation-inferred,Total Required Resources-2023,Total Required Resources-2024,Total Required Resources-2025,Total Required Resources-2026
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU1,108145,"Reforço do Sistema de Informação Sanitária Integrada do MS para melhor planificação e gestão estratégicas, seguimento e avaliação, ancorados em dados programáticos financeiros, atuais e de qualidade (UNICEF, UNFPA)",UNFPA,United Nations Population Fund,,,,,,,,,,true,,false,,false,,false,15000,41650,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU1,108145,"Reforço do Sistema de Informação Sanitária Integrada do MS para melhor planificação e gestão estratégicas, seguimento e avaliação, ancorados em dados programáticos financeiros, atuais e de qualidade (UNICEF, UNFPA)",UNFPA,United Nations Population Fund,Core Funding,Multilateral - UN organizations excluding pooled funds,,,15000,36500,,,15000,true,36500,false,,false,,false,,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU1,108145,"Reforço do Sistema de Informação Sanitária Integrada do MS para melhor planificação e gestão estratégicas, seguimento e avaliação, ancorados em dados programáticos financeiros, atuais e de qualidade (UNICEF, UNFPA)",UNFPA,United Nations Population Fund,COVID-19 Delivery Support (CDS) by the Gavi COVAX Advance Market Commitment (Gavi COVAX AMC),Multilateral - Other,,,,,,,,true,,false,,false,,false,,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU1,108145,"Reforço do Sistema de Informação Sanitária Integrada do MS para melhor planificação e gestão estratégicas, seguimento e avaliação, ancorados em dados programáticos financeiros, atuais e de qualidade (UNICEF, UNFPA)",UNICEF,United Nations Children's Fund,,,,,,,,,,true,,false,,false,,false,46200,4500,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU1,108145,"Reforço do Sistema de Informação Sanitária Integrada do MS para melhor planificação e gestão estratégicas, seguimento e avaliação, ancorados em dados programáticos financeiros, atuais e de qualidade (UNICEF, UNFPA)",UNICEF,United Nations Children's Fund,Core Funding,Multilateral - UN organizations excluding pooled funds,,,10000,4500,,,9957,true,4500,false,,false,,false,,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU1,108145,"Reforço do Sistema de Informação Sanitária Integrada do MS para melhor planificação e gestão estratégicas, seguimento e avaliação, ancorados em dados programáticos financeiros, atuais e de qualidade (UNICEF, UNFPA)",UNICEF,United Nations Children's Fund,COVID-19 Delivery Support (CDS) by the Gavi COVAX Advance Market Commitment (Gavi COVAX AMC),Multilateral - Other,,,36200,,,,36043,true,,false,,false,,false,,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU2,108149,"Apoio ao Sistema Nacional de Saúde no reforço de capacidade técnica em gestão, seguimento, manutenção preventiva e Comunicação de Risco e Envolvimento Comunitário (CREC) (UNICEF, UNFPA, UNDP)",UNDP,United Nations Development Programme,,,,,,,,,,false,,false,,false,,false,25000,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU2,108149,"Apoio ao Sistema Nacional de Saúde no reforço de capacidade técnica em gestão, seguimento, manutenção preventiva e Comunicação de Risco e Envolvimento Comunitário (CREC) (UNICEF, UNFPA, UNDP)",UNDP,United Nations Development Programme,Core Funding,Multilateral - UN organizations excluding pooled funds,,,,,,,,false,,false,,false,,false,,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU2,108149,"Apoio ao Sistema Nacional de Saúde no reforço de capacidade técnica em gestão, seguimento, manutenção preventiva e Comunicação de Risco e Envolvimento Comunitário (CREC) (UNICEF, UNFPA, UNDP)",UNDP,United Nations Development Programme,COVID-19 Delivery Support (CDS) by the Gavi COVAX Advance Market Commitment (Gavi COVAX AMC),Multilateral - Other,,,,,,,,false,,false,,false,,false,,,,
1_SPSP 1-2_OC1,"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.",1_SPSP 1-2_OC1-3_OU1.1.1,"Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.",2023-03-01,2024-12-31,1_SPSP 1-2_OC1-3_OU1.1.1-4_SOU2,108149,"Apoio ao Sistema Nacional de Saúde no reforço de capacidade técnica em gestão, seguimento, manutenção preventiva e Comunicação de Risco e Envolvimento Comunitário (CREC) (UNICEF, UNFPA, UNDP)",UNFPA,United Nations Population Fund,,,,,,,,,,true,,false,,false,,false,10000,75000,,
